customer_id,age_group,city,customer_type
1,18-25,Wrocław,loyal
2,26-35,Lublin,loyal
3,18-25,Kraków,regular
4,46-60,Lublin,new
5,26-35,Łódź,occasional
6,36-45,Gdańsk,regular
7,26-35,Lublin,regular
8,26-35,Wrocław,new
9,46-60,Warszawa,new
10,36-45,Lublin,new
11,36-45,Warszawa,loyal
12,36-45,Wrocław,occasional
13,18-25,Poznań,regular
14,18-25,Lublin,regular
15,26-35,Wrocław,occasional
16,26-35,Katowice,occasional
17,26-35,Poznań,regular
18,60+,Poznań,new
19,18-25,Wrocław,occasional
20,46-60,Gdańsk,occasional
21,46-60,Kraków,regular
22,26-35,Lublin,occasional
23,36-45,Gdańsk,new
24,46-60,Wrocław,regular
25,60+,Lublin,new
26,46-60,Kraków,new
27,18-25,Wrocław,occasional
28,18-25,Poznań,regular
29,46-60,Wrocław,regular
30,18-25,Lublin,new
31,26-35,Wrocław,loyal
32,18-25,Kraków,regular
33,36-45,Katowice,new
34,46-60,Poznań,loyal
35,36-45,Katowice,new
36,60+,Kraków,regular
37,26-35,Kraków,loyal
38,60+,Gdańsk,regular
39,60+,Gdańsk,regular
40,36-45,Warszawa,new
41,18-25,Łódź,occasional
42,36-45,Gdańsk,occasional
43,46-60,Gdańsk,occasional
44,18-25,Gdańsk,new
45,46-60,Wrocław,regular
46,36-45,Katowice,loyal
47,46-60,Katowice,regular
48,26-35,Poznań,regular
49,36-45,Lublin,regular
50,26-35,Katowice,regular
51,46-60,Katowice,new
52,18-25,Katowice,loyal
53,18-25,Kraków,regular
54,18-25,Katowice,occasional
55,18-25,Kraków,new
56,18-25,Wrocław,new
57,18-25,Kraków,new
58,36-45,Kraków,loyal
59,26-35,Katowice,regular
60,46-60,Wrocław,occasional
61,18-25,Gdańsk,regular
62,26-35,Kraków,loyal
63,26-35,Wrocław,regular
64,36-45,Warszawa,new
65,46-60,Warszawa,occasional
66,18-25,Warszawa,occasional
67,46-60,Kraków,occasional
68,46-60,Lublin,loyal
69,46-60,Łódź,regular
70,36-45,Kraków,occasional
71,26-35,Katowice,loyal
72,26-35,Gdańsk,new
73,26-35,Kraków,regular
74,26-35,Gdańsk,regular
75,26-35,Gdańsk,loyal
76,26-35,Gdańsk,occasional
77,46-60,Katowice,regular
78,36-45,Gdańsk,occasional
79,36-45,Kraków,regular
80,36-45,Katowice,regular
81,36-45,Warszawa,loyal
82,46-60,Kraków,new
83,36-45,Łódź,loyal
84,18-25,Warszawa,occasional
85,18-25,Lublin,occasional
86,36-45,Lublin,occasional
87,46-60,Lublin,regular
88,36-45,Lublin,new
89,36-45,Kraków,loyal
90,36-45,Kraków,regular
91,36-45,Łódź,occasional
92,26-35,Katowice,loyal
93,60+,Katowice,new
94,18-25,Warszawa,loyal
95,26-35,Lublin,loyal
96,26-35,Katowice,occasional
97,46-60,Łódź,regular
98,26-35,Wrocław,new
99,18-25,Warszawa,regular
100,26-35,Lublin,loyal
101,36-45,Lublin,occasional
102,26-35,Lublin,regular
103,60+,Warszawa,occasional
104,18-25,Łódź,occasional
105,36-45,Warszawa,loyal
106,36-45,Warszawa,new
107,26-35,Łódź,regular
108,26-35,Katowice,regular
109,26-35,Poznań,occasional
110,18-25,Lublin,occasional
111,46-60,Łódź,occasional
112,18-25,Wrocław,occasional
113,36-45,Kraków,new
114,46-60,Łódź,new
115,26-35,Gdańsk,occasional
116,18-25,Kraków,occasional
117,36-45,Lublin,new
118,18-25,Warszawa,loyal
119,46-60,Lublin,occasional
120,18-25,Kraków,occasional
121,60+,Warszawa,loyal
122,46-60,Katowice,new
123,26-35,Warszawa,regular
124,46-60,Warszawa,loyal
125,46-60,Gdańsk,loyal
126,18-25,Kraków,regular
127,36-45,Poznań,loyal
128,18-25,Lublin,loyal
129,18-25,Kraków,loyal
130,18-25,Lublin,new
131,18-25,Gdańsk,regular
132,46-60,Lublin,loyal
133,36-45,Gdańsk,occasional
134,26-35,Kraków,loyal
135,36-45,Wrocław,occasional
136,18-25,Łódź,regular
137,26-35,Lublin,new
138,18-25,Gdańsk,regular
139,26-35,Poznań,loyal
140,36-45,Gdańsk,regular
141,26-35,Katowice,loyal
142,26-35,Kraków,new
143,26-35,Gdańsk,regular
144,36-45,Gdańsk,loyal
145,36-45,Poznań,loyal
146,26-35,Łódź,occasional
147,36-45,Kraków,loyal
148,26-35,Gdańsk,regular
149,36-45,Poznań,occasional
150,36-45,Lublin,regular
151,46-60,Kraków,occasional
152,26-35,Wrocław,new
153,18-25,Katowice,new
154,26-35,Katowice,regular
155,18-25,Łódź,occasional
156,18-25,Wrocław,occasional
157,46-60,Gdańsk,new
158,36-45,Wrocław,new
159,26-35,Poznań,occasional
160,46-60,Lublin,regular
161,36-45,Kraków,regular
162,36-45,Łódź,new
163,26-35,Katowice,new
164,18-25,Poznań,occasional
165,60+,Lublin,occasional
166,60+,Poznań,new
167,26-35,Katowice,new
168,46-60,Gdańsk,regular
169,26-35,Lublin,new
170,46-60,Kraków,new
171,26-35,Kraków,regular
172,36-45,Wrocław,regular
173,18-25,Wrocław,occasional
174,36-45,Kraków,loyal
175,36-45,Katowice,new
176,26-35,Katowice,regular
177,26-35,Lublin,regular
178,46-60,Katowice,occasional
179,36-45,Gdańsk,loyal
180,46-60,Lublin,regular
181,26-35,Katowice,new
182,26-35,Poznań,occasional
183,36-45,Gdańsk,regular
184,18-25,Kraków,new
185,60+,Łódź,regular
186,36-45,Gdańsk,new
187,26-35,Kraków,loyal
188,60+,Łódź,loyal
189,26-35,Lublin,occasional
190,36-45,Katowice,occasional
191,46-60,Gdańsk,new
192,36-45,Katowice,regular
193,36-45,Lublin,occasional
194,60+,Łódź,regular
195,36-45,Lublin,regular
196,18-25,Łódź,new
197,46-60,Lublin,occasional
198,26-35,Gdańsk,occasional
199,26-35,Warszawa,new
200,36-45,Katowice,occasional
201,60+,Gdańsk,new
202,26-35,Katowice,new
203,18-25,Lublin,loyal
204,46-60,Łódź,occasional
205,36-45,Gdańsk,new
206,26-35,Katowice,loyal
207,46-60,Gdańsk,regular
208,36-45,Warszawa,new
209,26-35,Łódź,loyal
210,26-35,Lublin,occasional
211,26-35,Katowice,regular
212,36-45,Katowice,regular
213,26-35,Poznań,new
214,18-25,Lublin,regular
215,36-45,Gdańsk,occasional
216,26-35,Katowice,regular
217,18-25,Warszawa,occasional
218,36-45,Poznań,loyal
219,26-35,Gdańsk,regular
220,18-25,Lublin,regular
221,18-25,Wrocław,new
222,26-35,Kraków,loyal
223,26-35,Gdańsk,occasional
224,46-60,Gdańsk,regular
225,26-35,Wrocław,regular
226,26-35,Lublin,occasional
227,36-45,Lublin,loyal
228,36-45,Łódź,regular
229,26-35,Wrocław,new
230,46-60,Wrocław,regular
231,36-45,Wrocław,occasional
232,26-35,Katowice,regular
233,60+,Poznań,occasional
234,46-60,Łódź,occasional
235,18-25,Kraków,new
236,36-45,Poznań,occasional
237,36-45,Lublin,new
238,60+,Gdańsk,new
239,18-25,Warszawa,new
240,26-35,Kraków,regular
241,26-35,Warszawa,new
242,26-35,Warszawa,new
243,36-45,Gdańsk,regular
244,26-35,Kraków,regular
245,18-25,Wrocław,occasional
246,18-25,Warszawa,regular
247,26-35,Warszawa,regular
248,46-60,Wrocław,occasional
249,26-35,Kraków,regular
250,26-35,Wrocław,loyal
251,26-35,Łódź,occasional
252,18-25,Wrocław,regular
253,36-45,Kraków,new
254,18-25,Kraków,occasional
255,18-25,Lublin,new
256,18-25,Kraków,loyal
257,26-35,Warszawa,loyal
258,46-60,Poznań,new
259,46-60,Poznań,new
260,46-60,Poznań,occasional
261,26-35,Kraków,regular
262,36-45,Lublin,occasional
263,26-35,Łódź,regular
264,46-60,Katowice,loyal
265,26-35,Poznań,regular
