sale_id,store_id,product_id,customer_id,date_id,quantity,revenue,discount_amount,is_returned
1,2,11,258,174,1,244.33,32.38,0
2,2,9,187,39,1,317.69,13.93,0
3,3,19,25,90,1,550.93,68.79,0
4,7,5,410,12,1,437.07,26.42,0
5,1,40,376,73,2,686.11,58.85,0
6,1,16,177,77,2,412.45,38.31,0
7,2,26,431,293,1,605.4,0.0,0
8,3,7,258,291,1,85.31,9.69,0
9,7,19,260,12,1,522.42,97.3,0
10,8,20,411,293,1,196.2,33.0,0
11,4,29,290,107,1,234.79,28.13,0
12,1,38,74,112,1,339.5,34.81,0
13,6,43,114,195,2,633.73,93.03,0
14,1,21,417,240,2,1.7,7.91,1
15,6,2,248,334,1,310.21,9.26,0
16,4,42,3,166,1,162.66,13.95,0
17,5,9,119,22,2,633.39,29.85,0
18,8,45,424,28,1,350.71,46.02,0
19,3,43,45,43,1,337.58,25.8,0
20,5,19,187,333,1,570.76,48.96,0
21,7,16,126,26,2,399.82,50.94,0
22,4,9,304,159,1,305.42,26.2,0
23,1,28,204,213,1,68.91,4.48,0
24,3,50,43,68,1,274.66,28.5,0
25,1,46,287,213,1,355.36,13.65,0
26,1,52,236,75,2,537.8,44.24,0
27,2,3,398,191,2,1039.06,66.32,0
28,1,8,368,2,1,351.99,33.54,0
29,3,4,196,290,2,464.13,57.37,0
30,2,5,425,73,2,835.21,91.77,0
31,8,50,371,226,1,265.87,37.29,0
32,4,51,396,353,1,278.8,0.0,0
33,3,21,160,103,1,88.13,3.86,0
34,4,32,410,71,1,328.78,34.91,0
35,8,27,97,299,2,391.69,25.45,0
36,1,4,68,130,1,237.54,23.21,0
37,4,11,276,241,2,465.98,87.44,0
38,8,5,154,47,1,396.28,67.21,0
39,3,29,340,119,1,229.0,33.92,0
40,6,12,192,60,1,350.46,35.08,0
41,2,26,48,301,1,567.87,37.53,0
42,8,25,214,37,1,342.4,48.02,0
43,2,2,281,263,3,845.32,113.09,0
44,4,43,27,262,1,339.4,23.98,0
45,5,33,377,71,1,516.22,52.93,0
46,8,22,164,258,2,627.58,78.36,0
47,4,40,95,195,1,313.26,59.22,0
48,6,15,394,82,1,254.28,3.61,0
49,2,28,129,145,2,135.48,11.3,0
50,2,25,158,275,1,362.7,27.72,0
51,1,37,243,259,1,204.99,5.47,0
52,6,24,359,40,2,577.91,25.97,0
53,2,21,206,85,1,86.19,5.8,0
54,2,23,58,134,1,336.15,0.0,0
55,6,26,410,22,1,583.0,22.4,0
56,5,48,392,161,2,333.63,44.63,0
57,1,27,210,212,1,184.38,24.19,0
58,7,12,48,362,2,754.89,16.19,0
59,7,17,392,44,1,361.42,29.73,0
60,8,29,152,158,1,230.32,32.6,0
61,1,22,418,230,2,675.58,30.36,0
62,2,15,358,83,2,479.68,36.1,0
63,7,15,104,154,2,471.42,44.36,0
64,4,41,112,256,2,488.28,42.46,0
65,2,30,2,247,3,627.98,52.39,0
66,4,4,357,267,1,254.75,6.0,0
67,2,22,87,64,1,347.32,5.65,0
68,6,22,433,50,1,327.2,25.77,0
69,6,5,333,32,1,456.54,6.95,0
70,4,43,128,87,2,678.07,48.69,0
71,2,8,113,44,2,706.29,64.77,0
72,7,2,176,231,1,293.27,26.2,0
73,2,44,404,144,2,75.97,48.23,1
74,3,40,273,37,1,338.96,33.52,0
75,6,46,195,356,1,363.84,5.17,0
76,6,7,127,227,1,88.63,6.37,0
77,5,41,174,314,2,443.17,87.57,0
78,6,9,231,93,2,661.25,1.99,0
79,8,18,434,58,1,252.21,52.76,0
